	id	context	question	model_answer	gold_answers	mturk_scores	avg_score
10	57297ed93f37b31900478462	A particularly simple example of a probabilistic test is the Fermat primality test, which relies on the fact (Fermat's little theorem) that np≡n (mod p) for any n if p is a prime number. If we have a number b that we want to test for primality, then we work out nb (mod b) for a random value of n as our test. A flaw with this test is that there are some composite numbers (the Carmichael numbers) that satisfy the Fermat identity even though they are not prime, so the test has no way of distinguishing between prime numbers and Carmichael numbers. Carmichael numbers are substantially rarer than prime numbers, though, so this test can be useful for practical purposes. More powerful extensions of the Fermat primality test, such as the Baillie-PSW, Miller-Rabin, and Solovay-Strassen tests, are guaranteed to fail at least some of the time when applied to a composite number.	What is the name of one impressive continuation of the Fermat primality test?	solovaystrassen tests	['bailliepsw', 'bailliepsw', 'bailliepsw', 'bailliepsw', 'bailliepsw']	[4]	4
11	56e77b8c00c9c71400d77194	"There are many forms of spiritual or religious teachers in Christianity, across all three major traditions - (Roman) Catholic, (Eastern) Orthodox Catholic, and Protestant/Non-Denominational, with a stronger tradition of spiritual formation in the more historic and authoritarian/hierarchical Christian traditions with a long tradition of ""discernment of spirits"", of vocations, and other aspects of spiritual life, especially the Roman and Orthodox Catholic Churches. These positions include: the honoured but informal position of starets or elder - a man (or, less often, woman), often a monastic, considered to be graced by God with certain gifts for the guidance of souls and the detection and correction of prelest (spiritual pride or deception) - who acts as a spiritual guide or father in the Orthodox Catholic tradition, especially Russian Orthodoxy (see Optina Monastery, which had a long line of said starets); the Priest or Confessor in Roman Catholicism, who is often a man in Holy Orders but may be a monastic or other person respected for his spiritual accomplishments or acumen (even the Pope of Rome has a Confessor, who is not always a bishop, and, due to the hierarchical structure of the Roman Church, can not be his equal in authority), which is often a semi-official to official position, as opposed to the unofficial positions of spiritual guides in the Orthodox Catholic and Protestant traditions; and the almost-exclusively informal arrangements (generally formal only in members who are under some form of church discipline) of mentorship (both of adults and children, in the latter case often a youth pastor) in the Protestant and Non-Denominational traditions, which boundaries can be blurred with the more typically Roman ""confessor"" position in some of the more historic and conservative Reformation Churches, such as some of the Lutheran and Anglican. In keeping with the individualistic nature of most Protestant denominations, the emphasis on being guided in spiritual development is small, with a heavy emphasis placed on heavy reading and personal, Spirit-enlightened interpretation of the Holy Bible."	How many types of religious or spiritual teachers are there in Christianity?	spiritual guides	['many', 'three', 'many']	[5]	5
12	5726642f5951b619008f7157	Newcastle upon Tyne (RP: i/ˌnjuːkɑːsəl əˌpɒn ˈtaɪn/; Locally: i/njuːˌkæsəl əˌpən ˈtaɪn/), commonly known as Newcastle, is a city in Tyne and Wear, North East England, 103 miles (166 km) south of Edinburgh and 277 miles (446 km) north of London on the northern bank of the River Tyne, 8.5 mi (13.7 km) from the North Sea. Newcastle is the most populous city in the North East and Tyneside the eighth most populous conurbation in the United Kingdom. Newcastle is a member of the English Core Cities Group and is a member of the Eurocities network of European cities. Newcastle was part of the county of Northumberland until 1400, when it became a county itself, a status it retained until becoming part of Tyne and Wear in 1974.[not in citation given] The regional nickname and dialect for people from Newcastle and the surrounding area is Geordie.	How many miles south of Edinburgh is Newcastle?	103	['103 miles', '103 miles', '103 miles']	[4]	4
13	5730d26fb54a4f140068cc96	The first Methodist clergy were ordained by John Wesley, a priest of the Church of England, because of the crisis caused by the American Revolution which isolated the Methodists in the States from the Church of England and its sacraments. Today, the clergy includes men and women who are ordained by bishops as elders and deacons and are appointed to various ministries. Elders in the United Methodist Church itenerate and are subject to the authority and appointment of their bishops. They generally serve as pastors in local congregations. Deacons are in service ministry and may serve as musicians, liturgists, educators, business administrators, and a number of other areas. Elders and deacons are required to obtain a master's degree (generally an M.Div.), or another equivalent degree, before commissioning and then ultimately ordination. Elders in full connection are each a member of their Annual Conference Order of Elders. Likewise each deacon in full connection is a member of their Annual Conference Order of Deacons.	Elders in full connection are each a member of what?	their annual conference order of elders	['annual conference order of elders', 'member of their annual conference order of elders', 'annual conference order of elders']	[3]	3
14	572746addd62a815002e9a61	Private schools, also known as independent schools, non-governmental, or nonstate schools, are not administered by local, state or national governments; thus, they retain the right to select their students and are funded in whole or in part by charging their students tuition, rather than relying on mandatory taxation through public (government) funding; at some private schools students may be able to get a scholarship, which makes the cost cheaper, depending on a talent the student may have (e.g. sport scholarship, art scholarship, academic scholarship), financial need, or tax credit scholarships that might be available.	What right do private schools have that public schools don't?	they retain the right to select their students	['to select their students', 'select their students', 'select their students']	[4]	4
15	5728f9cf4b864d1900165168	"The ""Big Five"" game animals of Africa, that is the lion, leopard, buffalo, rhinoceros, and elephant, can be found in Kenya and in the Masai Mara in particular. A significant population of other wild animals, reptiles and birds can be found in the national parks and game reserves in the country. The annual animal migration occurs between June and September with millions of animals taking part, attracting valuable foreign tourism. Two million wildebeest migrate a distance of 2,900 kilometres (1,802 mi) from the Serengeti in neighbouring Tanzania to the Masai Mara in Kenya, in a constant clockwise fashion, searching for food and water supplies. This Serengeti Migration of the wildebeest is a curious spectacle listed among the 10 Natural Wonders of Africa."	Where are these animals mostly located?	kenya	['masai mara', 'national parks', 'masai mara']	[4]	4
16	5733638fd058e614000b59e9	Exceptional examples of the bourgeois architecture of the later periods were not restored by the communist authorities after the war (like mentioned Kronenberg Palace and Insurance Company Rosja building) or they were rebuilt in socialist realism style (like Warsaw Philharmony edifice originally inspired by Palais Garnier in Paris). Despite that the Warsaw University of Technology building (1899–1902) is the most interesting of the late 19th-century architecture. Some 19th-century buildings in the Praga district (the Vistula’s right bank) have been restored although many have been poorly maintained. Warsaw’s municipal government authorities have decided to rebuild the Saxon Palace and the Brühl Palace, the most distinctive buildings in prewar Warsaw.	Why aren't the examples of bouregois architecture visible today?	were not restored by the communist authorities after the war	['not restored by the communist authorities', 'were not restored', 'not restored by the communist authorities after the war']	[4]	4
17	56dfa3c338dc421700152158	"In 1875, Tesla enrolled at Austrian Polytechnic in Graz, Austria, on a Military Frontier scholarship. During his first year, Tesla never missed a lecture, earned the highest grades possible, passed nine exams (nearly twice as many required), started a Serbian culture club, and even received a letter of commendation from the dean of the technical faculty to his father, which stated, ""Your son is a star of first rank."" Tesla claimed that he worked from 3 a.m. to 11 p.m., no Sundays or holidays excepted. He was ""mortified when [his] father made light of [those] hard won honors."" After his father's death in 1879, Tesla found a package of letters from his professors to his father, warning that unless he were removed from the school, Tesla would be killed through overwork. During his second year, Tesla came into conflict with Professor Poeschl over the Gramme dynamo, when Tesla suggested that commutators weren't necessary. At the end of his second year, Tesla lost his scholarship and became addicted to gambling. During his third year, Tesla gambled away his allowance and his tuition money, later gambling back his initial losses and returning the balance to his family. Tesla said that he ""conquered [his] passion then and there,"" but later he was known to play billiards in the US. When exam time came, Tesla was unprepared and asked for an extension to study, but was denied. He never graduated from the university and did not receive grades for the last semester."	Did Tesla graduate from the university?	never graduated from the university	['no', 'not', 'he never graduated']	[5]	5
18	5728151b4b864d190016442a	"Some theories of civil disobedience hold that civil disobedience is only justified against governmental entities. Brownlee argues that disobedience in opposition to the decisions of non-governmental agencies such as trade unions, banks, and private universities can be justified if it reflects ""a larger challenge to the legal system that permits those decisions to be taken"". The same principle, she argues, applies to breaches of law in protest against international organizations and foreign governments."	Brownlee justifies civil disobedience toward what branch of the government?	governmental entities	['legal system', 'foreign', 'legal system', 'international organizations and foreign governments']	[5]	5
19	5727f6723acd2414000df0e7	"John Schmitt and Ben Zipperer (2006) of the CEPR point to economic liberalism and the reduction of business regulation along with the decline of union membership as one of the causes of economic inequality. In an analysis of the effects of intensive Anglo-American liberal policies in comparison to continental European liberalism, where unions have remained strong, they concluded ""The U.S. economic and social model is associated with substantial levels of social exclusion, including high levels of income inequality, high relative and absolute poverty rates, poor and unequal educational outcomes, poor health outcomes, and high rates of crime and incarceration. At the same time, the available evidence provides little support for the view that U.S.-style labor-market flexibility dramatically improves labor-market outcomes. Despite popular prejudices to the contrary, the U.S. economy consistently affords a lower level of economic mobility than all the continental European countries for which data is available."""	What types of organizations are on a decline in the US which adversely effects economic mobility?	union	['unions', 'union membership', 'unions']	[5]	5
20	572700c8dd62a815002e976b	Sculptors both British and Europeans who were based in Britain and whose work is in the collection include Nicholas Stone, Caius Gabriel Cibber, Grinling Gibbons, John Michael Rysbrack, Louis-François Roubiliac, Peter Scheemakers, Sir Henry Cheere, Agostino Carlini, Thomas Banks, Joseph Nollekens, Joseph Wilton, John Flaxman, Sir Francis Chantrey, John Gibson, Edward Hodges Baily, Lord Leighton, Alfred Stevens, Thomas Brock, Alfred Gilbert, George Frampton, and Eric Gill. A sample of some of these sculptors' work is on display in the British Galleries.	Which British sculptor whose work include the Queen Victoria memorial in front of Buckingham Palace is included in the V&A collection?	nicholas stone	['thomas brock', 'thomas brock', 'thomas brock']	[5]	5
21	572fad30a23a5019007fc86e	"During this time, the discovery of oil in the North Sea and the following ""It's Scotland's oil"" campaign of the Scottish National Party (SNP) resulted in rising support for Scottish independence, as well as the SNP. The party argued that the revenues from the oil were not benefitting Scotland as much as they should. The combined effect of these events led to Prime Minister Wilson committing his government to some form of devolved legislature in 1974. However, it was not until 1978 that final legislative proposals for a Scottish Assembly were passed by the United Kingdom Parliament."	What campaigh did the Scottish National Party (SNP) run?	its scotlands oil campaign	['its scotlands oil', 'its scotlands oil', 'its scotlands oil']	[4]	4
22	5729e6313f37b319004785ab	During the mid-Eocene, it is believed that the drainage basin of the Amazon was split along the middle of the continent by the Purus Arch. Water on the eastern side flowed toward the Atlantic, while to the west water flowed toward the Pacific across the Amazonas Basin. As the Andes Mountains rose, however, a large basin was created that enclosed a lake; now known as the Solimões Basin. Within the last 5–10 million years, this accumulating water broke through the Purus Arch, joining the easterly flow toward the Atlantic.	Where did water on the eastern side of the amazon basin travel after the split?	toward the atlantic	['atlantic', 'atlantic', 'atlantic']	[4]	4
23	5725b76389a1e219009abd4c	"On August 15, 1971, the United States unilaterally pulled out of the Bretton Woods Accord. The US abandoned the Gold Exchange Standard whereby the value of the dollar had been pegged to the price of gold and all other currencies were pegged to the dollar, whose value was left to ""float"" (rise and fall according to market demand). Shortly thereafter, Britain followed, floating the pound sterling. The other industrialized nations followed suit with their respective currencies. Anticipating that currency values would fluctuate unpredictably for a time, the industrialized nations increased their reserves (by expanding their money supplies) in amounts far greater than before. The result was a depreciation of the dollar and other industrialized nations' currencies. Because oil was priced in dollars, oil producers' real income decreased. In September 1971, OPEC issued a joint communiqué stating that, from then on, they would price oil in terms of a fixed amount of gold."	Why was there a depreciation of the industrialized nations dollars?	oil was priced in dollars	['industrialized nations increased their reserves', 'industrialized nations increased their reserves by expanding their money supplies in amounts far greater than before', 'industrialized nations increased their reserves', 'industrialized nations increased their reserves', 'industrialized nations increased their reserves']	[5]	5
24	56f80e1daef2371900625d8d	"Luther's rediscovery of ""Christ and His salvation"" was the first of two points that became the foundation for the Reformation. His railing against the sale of indulgences was based on it."	What was the first point of the Reformation?	luthers rediscovery of christ and his salvation	['christ and his salvation', 'rediscovery of christ and his salvation', 'rediscovery of christ and his salvation', 'christ']	[4]	4
25	56e748a200c9c71400d76f37	A teacher's role may vary among cultures. Teachers may provide instruction in literacy and numeracy, craftsmanship or vocational training, the arts, religion, civics, community roles, or life skills.	What factor may make a teacher's role vary?	among cultures	['cultures', 'cultures', 'cultures']	[5]	5
26	57309921396df919000961f8	"The movement which would become The United Methodist Church began in the mid-18th century within the Church of England. A small group of students, including John Wesley, Charles Wesley and George Whitefield, met on the Oxford University campus. They focused on Bible study, methodical study of scripture and living a holy life. Other students mocked them, saying they were the ""Holy Club"" and ""the Methodists"", being methodical and exceptionally detailed in their Bible study, opinions and disciplined lifestyle. Eventually, the so-called Methodists started individual societies or classes for members of the Church of England who wanted to live a more religious life."	"Why was the student group called ""the Methodists?"""	methodical and exceptionally detailed in their bible study opinions and disciplined lifestyle	['being methodical and exceptionally detailed in their bible study', 'they focused on bible study methodical study of scripture and living a holy life', 'being methodical and exceptionally detailed in their bible study opinions and disciplined lifestyle']	[5]	5
27	57268f2bf1498d1400e8e3c5	Following the Nice Treaty, there was an attempt to reform the constitutional law of the European Union and make it more transparent; this would have also produced a single constitutional document. However, as a result of the referendum in France and the referendum in the Netherlands, the 2004 Treaty establishing a Constitution for Europe never came into force. Instead, the Lisbon Treaty was enacted. Its substance was very similar to the proposed constitutional treaty, but it was formally an amending treaty, and – though it significantly altered the existing treaties – it did not completely replace them.	What was an additional projected effect of the attempted reform?	single constitutional document	['this would have also produced a single constitutional document', 'this would have also produced a single constitutional document', 'would have also produced a single constitutional document', 'this would have also produced a single constitutional document']	[4]	4
28	572fd6aa04bcaa1900d76da0	Under the Scotland Act 1998, ordinary general elections for the Scottish Parliament are held on the first Thursday in May every four years (1999, 2003, 2007 and so on). The date of the poll may be varied by up to one month either way by the Monarch on the proposal of the Presiding Officer. If the Parliament itself resolves that it should be dissolved (with at least two-thirds of the Members voting in favour), or if the Parliament fails to nominate one of its members to be First Minister within 28 days of a General Election or of the position becoming vacant, the Presiding Officer proposes a date for an extraordinary general election and the Parliament is dissolved by the Queen by royal proclamation. Extraordinary general elections are in addition to ordinary general elections, unless held less than six months before the due date of an ordinary general election, in which case they supplant it. The following ordinary election reverts to the first Thursday in May, a multiple of four years after 1999 (i.e., 5 May 2011, 7 May 2015, etc.).	What month, every four years, are the ordinary general elections held on?	thursday in may	['may', 'may', 'may']	[5]	5
29	5725d51589a1e219009abf6f	The Apollo astronauts were chosen from the Project Mercury and Gemini veterans, plus from two later astronaut groups. All missions were commanded by Gemini or Mercury veterans. Crews on all development flights (except the Earth orbit CSM development flights) through the first two landings on Apollo 11 and Apollo 12, included at least two (sometimes three) Gemini veterans. Dr. Harrison Schmitt, a geologist, was the first NASA scientist astronaut to fly in space, and landed on the Moon on the last mission, Apollo 17. Schmitt participated in the lunar geology training of all of the Apollo landing crews.	How many Apollo missions were manned by the previous Mercury and Gemini veterans?	two	['all missions', '17', 'all missions', 'all']	[4]	4
30	56e0e5f37aa994140058e78e	"Tesla's demonstration of his induction motor and Westinghouse's subsequent licensing of the patent, both in 1888, put Tesla firmly on the ""AC"" side of the so-called ""War of Currents,"" an electrical distribution battle being waged between Thomas Edison and George Westinghouse that had been simmering since Westinghouse's first AC system in 1886 and had reached the point of all-out warfare by 1888. This started out as a competition between rival lighting systems with Edison holding all the patents for DC and the incandescent light and Westinghouse using his own patented AC system to power arc lights as well as incandescent lamps of a slightly different design to get around the Edison patent. The acquisition of a feasible AC motor gave Westinghouse a key patent in building a completely integrated AC system, but the financial strain of buying up patents and hiring the engineers needed to build it meant development of Tesla's motor had to be put on hold for a while. The competition resulted in Edison Machine Works pursuing AC development in 1890 and by 1892 Thomas Edison was no longer in control of his own company, which was consolidated into the conglomerate General Electric and converting to an AC delivery system at that point."	What caused the delay during the development of the AC motor.	financial strain of buying up patents and hiring the engineers needed to build it	['financial strain', 'financial strain', 'financial strain of buying up patents and hiring the engineers needed to build']	[3]	3
31	5728e07e3acd2414000e00eb	"Non-revolutionary civil disobedience is a simple disobedience of laws on the grounds that they are judged ""wrong"" by an individual conscience, or as part of an effort to render certain laws ineffective, to cause their repeal, or to exert pressure to get one's political wishes on some other issue. Revolutionary civil disobedience is more of an active attempt to overthrow a government (or to change cultural traditions, social customs, religious beliefs, etc...revolution doesn't have to be political, i.e. ""cultural revolution"", it simply implies sweeping and widespread change to a section of the social fabric). Gandhi's acts have been described as revolutionary civil disobedience. It has been claimed that the Hungarians under Ferenc Deák directed revolutionary civil disobedience against the Austrian government. Thoreau also wrote of civil disobedience accomplishing ""peaceable revolution."" Howard Zinn, Harvey Wheeler, and others have identified the right espoused in The Declaration of Independence to ""alter or abolish"" an unjust government to be a principle of civil disobedience. "	What is the goal of individual civil disobedience?	to alter or abolish an unjust government	['render certain laws ineffective', 'to render certain laws ineffective to cause their repeal or to exert pressure to get ones political wishes on some other issue', 'render certain laws ineffective to cause their repeal', 't to render certain laws ineffective to cause their repeal or to exert pressure to get ones political wishes on some other issue', 'to render certain laws ineffective']	[3]	3
32	572feddda23a5019007fcb5d	The Upper Rhine region was changed significantly by a Rhine straightening program in the 19th Century. The rate of flow was increased and the ground water level fell significantly. Dead branches dried up and the amount of forests on the flood plains decreased sharply. On the French side, the Grand Canal d'Alsace was dug, which carries a significant part of the river water, and all of the traffic. In some places, there are large compensation pools, for example the huge Bassin de compensation de Plobsheim in Alsace.	What happened with the rate of flow in the Rhine with the straightening program?	increased and the ground water level fell significantly	['increased', 'increased', 'was increased']	[4]	4
33	5726a4a9708984140094ccb9	For the next several years, Hoelun and her children lived in poverty, surviving primarily on wild fruits and ox carcasses, marmots, and other small game killed by Temüjin and his brothers. Begter, Temujin's older half-brother, began to exercise the power of the eldest male in the family and eventually Temujin's mother Hoelun (not Begter's mother) would have to accept him as her husband if and when he became an adult. Temujin's resentment erupted during one hunting excursion that Temüjin and his brother Khasar killed their half-brother Begter.	Who killed Begter, Temüjin's half-brother?	khasar	['temüjin and his brother khasar', 'temüjin and his brother khasar', 'temüjin and his brother khasar']	[3]	3
34	572ff935b2c2fd140056869d	The Rhine-Meuse Delta is a tidal delta, shaped not only by the sedimentation of the rivers, but also by tidal currents. This meant that high tide formed a serious risk because strong tidal currents could tear huge areas of land into the sea. Before the construction of the Delta Works, tidal influence was palpable up to Nijmegen, and even today, after the regulatory action of the Delta Works, the tide acts far inland. At the Waal, for example, the most landward tidal influence can be detected between Brakel and Zaltbommel.	What does a high tide risk near lands? 	strong tidal currents could tear huge areas of land into the sea	['tear huge areas of land into the sea', 'tidal currents', 'tear huge areas of land into the sea']	[4]	4
35	56bf57043aeaaa14008c95d9	The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1, 2016 at SAP Center in San Jose. Alongside the traditional media availabilities, the event featured an opening ceremony with player introductions on a replica of the Golden Gate Bridge.	As a norm, what day of the week is the traditional Media Day held prior to a Super Bowl?	tuesday afternoon prior to the game was moved to the monday	['tuesday', 'tuesday afternoon prior to the game', 'tuesday']	[5]	5
36	57280f974b864d1900164373	Civil disobedience is usually defined as pertaining to a citizen's relation to the state and its laws, as distinguished from a constitutional impasse in which two public agencies, especially two equally sovereign branches of government, conflict. For instance, if the head of government of a country were to refuse to enforce a decision of that country's highest court, it would not be civil disobedience, since the head of government would be acting in her or his capacity as public official rather than private citizen.	When would a person be considered to be excising a constitutional impasse?	civil disobedience	['head of government would be acting in her or his capacity as public official', 'two public agencies especially two equally sovereign branches of government conflict', 'two public agencies especially two equally sovereign branches of government conflict', 'if the head of government of a country were to refuse to enforce a decision of that countrys highest court', 'two public agencies especially two equally sovereign branches of government conflict']	[5]	5
37	56e1ee4de3433e1400423211	Many known complexity classes are suspected to be unequal, but this has not been proved. For instance P ⊆ NP ⊆ PP ⊆ PSPACE, but it is possible that P = PSPACE. If P is not equal to NP, then P is not equal to PSPACE either. Since there are many known complexity classes between P and PSPACE, such as RP, BPP, PP, BQP, MA, PH, etc., it is possible that all these complexity classes collapse to one class. Proving that any of these classes are unequal would be a major breakthrough in complexity theory.	What is an expression that can be used to illustrate the suspected inequality of complexity classes?	p pspace	['p ⊆ np ⊆ pp ⊆ pspace', 'p ⊆ np ⊆ pp ⊆ pspace', 'p ⊆ np ⊆ pp ⊆ pspace']	[5]	5
38	57269fab5951b619008f7808	Musicians Eric Burdon, Sting, Mark Knopfler, Alan Hull, Cheryl Cole and Neil Tennant lived in Newcastle. Hank Marvin and Bruce Welch were both former pupils of Rutherford Grammar School, actors Charlie Hunnam and James Scott, entertainers Ant and Dec and international footballers Michael Carrick and Alan Shearer were born in Newcastle. Multiple circumnavigator David Scott Cowper, Nobel Prize winning physicist Peter Higgs, and former WWE NXT champion Neville were born in the city. John Dunn, inventor of keyed Northumbrian smallpipes, the most characteristic musical instrument in the region, lived and worked in the city.	What is Michael Carrick and Alan Shearer's profession?	footballers	['international footballers', 'international footballers', 'international footballers']	[4]	4
39	56f8c0cd9b226e1400dd0f37	Since the 1980s, Lutheran Church denominations have repudiated Martin Luther's statements against the Jews and have rejected the use of them to incite hatred against Lutherans. Strommen et al.'s 1970 survey of 4,745 North American Lutherans aged 15–65 found that, compared to the other minority groups under consideration, Lutherans were the least prejudiced toward Jews. Nevertheless, Professor Richard (Dick) Geary, former Professor of Modern History at the University of Nottingham, England, and the author of Hitler and Nazism (Routledge 1993), wrote in the journal History Today an article on who voted for the Nazis in elections held from 1928-1933, where he claimed that from his research he found that the Nazis gained disproportionately more votes from Protestant than Catholic areas of Germany.	Who found that Protestants voted for Nazis more than Catholics?	professor richard dick geary	['richard dick geary', 'richard dick geary', 'geary']	[5]	5
40	5729544c3f37b31900478257	Chloroplasts are highly dynamic—they circulate and are moved around within plant cells, and occasionally pinch in two to reproduce. Their behavior is strongly influenced by environmental factors like light color and intensity. Chloroplasts, like mitochondria, contain their own DNA, which is thought to be inherited from their ancestor—a photosynthetic cyanobacterium that was engulfed by an early eukaryotic cell. Chloroplasts cannot be made by the plant cell and must be inherited by each daughter cell during cell division.	How do chloroplasts reproduce?	occasionally pinch in two	['pinch in two', 'pinch in two', 'pinch in two']	[2]	2
